"country","TopYouTubers_NumberOfTopYouTubers_num_2024","TopYouTubers_TopYouTubeChannelName_2024","TopYouTubers_TopChannelNumOfSubscribers_millions_2024","TopYouTubers_ChannelCategory","TopYouTubers_LinkToTopYouTubeChannel_link_2024"
"India",17,"T-Series |\nSET India |\nZee Music |\nGoldmines |\nSony SAB |\nChuChu TV Nursery Rhymes & Kids Songs |\nZee TV |\nColors TV |\nT-Series Bhakti Sagar |\nTips Official |\nShemaroo Filmi Gaane |\nAaj Tak |\nInfobells - Hindi |\nWave Music |\nSony Music India |\nYRF |\nKL BRO Biju Rithvik","278 |\n179 |\n111 |\n101 |\n97 |\n93.9 |\n85.5 |\n77.1 |\n72 |\n70.2 |\n70 |\n68.3 |\n66 |\n63.4 |\n62.5 |\n62.5 |\n60.3","Music |\nEntertainment |\nMusic |\nFilm |\nEntertainment |\nEducation |\nEntertainment |\nEntertainment |\nMusic |\nEntertainment |\nMusic |\nNews |\nEducation |\nMusic |\nMusic |\nMusic |\nLifestyle Vlogs","https://www.youtube.com/user/tseries"
"United States",14,"MrBeast | \nCocomelon - Nursery Rhymes |\nVlad and Niki |\nWWE |\nStokes Twins |\nAlan Chikin Chow |\nToys and Colors |\nEminem Music |\nMovieclips |\nDude Perfect |\nTaylor Swift |\nMark Rober |\nBillionSurpriseToys |\nMarshmello","329 |\n185 |\n127 |\n105 |\n97.1 |\n66.8 |\n66.4 |\n62.8 |\n62.6 |\n60.5 |\n60.3 |\n59.3 |\n57.5 |\n57.5","Entertainment |\nEducation |\nEntertainment |\nSports |\nEntertainment |\nEntertainment |\nEntertainment |\nMusic |\nFilm |\nComedy |\nMusic |\nEducation/Entertainment |\nEntertainment |\nMusic","https://youtube.com/user/MrBeast6000"
"Pakistan",2,"Har Pal Geo |\nARY Digital HD ","62 |\n59.1","Entertainment |\nEntertainment","https://www.youtube.com/channel/UCe9JSDmyqNgA_l2BzGHq1Ug"
"Brazil",1,"Canal KondZilla",67.4,"Music","https://www.youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw"
"Russia",1,"Like Nastya",122,"Entertainment","https://en.wikipedia.org/wiki/Like_Nastya"
"Mexico",1,"Fede Vigevani",58.3,"Entertainment","https://www.youtube.com/channel/UCoQm-PeHC-cbJclKJYJ8LzA"
"South Korea",5,"Blackpink |\nBANGTANTV |\nPinkfong |\nHybe Labels |\n김프로KIMPRO","95.1 |\n79.3 |\n78.8 |\n76 |\n68.7","Music |\nMusic |\nEducation |\nMusic |\nEntertainment","https://www.youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A"
"Argentina",1,"El Reino Infantil",66.7,"Music","https://www.youtube.com/channel/UCK1i2UviaXLUNrZlAFpw_jA"
"Canada",1,"Justin Bieber",74.2,"Music","https://www.youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ"
"Ukraine",1,"Kids Diana Show",127,"Entertainment","https://www.youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw"
"Romania",1,"LooLoo Kids",59.1,"Music","https://www.youtube.com/channel/UC4NALVCmcmL5ntpV0thoH6w"
"United Arab Emirates",1,"Zamzam Electronics Trading",67.2,"Entertainment","https://www.youtube.com/channel/UCrnQFuUabBHaw-BRhPo8xEA"
"Sweden",1,"PewDiePie",110,"Entertainment","https://www.youtube.com/user/PewDiePie"
"Portugal",1,"UR Cristiano",66.6,"Entertainment/Sports","https://www.youtube.com/@cristiano"
"Belarus",1,"A4",69.9,"Entertainment","https://www.youtube.com/channel/UC2tsySbe9TNrI-xh2lximHA"
"Cyprus",1,"5-Minute Crafts",81,"How-to","https://www.youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw"